Rank,City,Country,timestep,adjusted_R2,Coef_GDP,Coef_POP
1,Beijing,China,9,0.323,0.111,0
2,New Delhi,India,11,0.625,0.127,0
3,Washington D.C.,United States,10,0.25,0.267,0
4,Jakarta,Indonesia,12,0.656,0.054,0
5,Brasilia,Brazil,11,0.551,0.449,0
6,Mexico City,Mexico,1,-0.289,0,1.093
7,Tokyo,Japan,8,0.577,0.21,3.166
8,Manila,Philippines,1,-0.298,0,1.07
9,Shanghai,China,9,0.377,0.184,0
10,Guangzhou,China,9,0.273,0.182,0
11,New York City,United States,4,0.431,0.237,0
12,Shenzhen,China,1,-0.003,0,17.632
13,Sao Paulo,Brazil,11,0.72,0.125,0
14,Mumbai,India,1,-0.192,0,0.695
15,Keihanshin ,Japan,1,-0.744,0.04,3.523
16,Wuhan,China,1,-0.001,0,4.3
17,Los Angeles,United States,4,0.37,0.33,0
18,Chengdu,China,10,0.496,0.112,0
19,Chongqing,China,11,0.796,0.045,0
20,Tianjin,China,11,0.426,0.062,0
21,Istanbul,Turkey,10,0.904,0.251,0
22,Kolkata,India,12,0.433,0.026,0
23,Hangzhou,China,12,0.374,0.056,2.857
24,Surabaya,Indonesia,7,0.261,0.026,0.252
25,Xi'an,China,11,0.167,0.038,0
26,Bangalore,India,10,0.342,0.028,0.415
27,Changzhou,China,12,-0.211,0.004,5.19
28,Rio de Janeiro,Brazil,11,0.819,0.032,0
29,Shantou,China,1,0.024,0,7.373
30,Nanjing,China,11,0.409,0.03,0
31,Rhine-Ruhr,Germany,4,1,0,0
32,Jinan,China,11,0.322,0.036,0.534
33,Chennai,India,1,-0.306,0,0.804
34,Harbin,China,1,-0.166,0,3.232
35,Chicago,United States,3,0.335,0.207,0
36,Zhengzhou,China,11,0.458,0.083,0
37,Johannesburg,South Africa,7,0.91,0.183,1.291
38,Hanoi,Vietnam,10,0.448,0.03,0.573
39,Berlin,Germany,5,1,0,0
40,Ankara,Turkey,11,0.984,0.204,0
41,Bangkok,Thailand,1,-0.299,0.126,3.691
42,London,United Kingdom,1,-0.072,0,0.718
43,Paris,France,1,-0.252,0,1.265
44,Rome,Italy,5,-0.289,0,3.514
45,Pretoria,South Africa,7,0.917,0.295,0.999
46,Bogota,Colombia,11,0.624,0.062,0
47,Madrid,Spain,5,0.795,0,8.65
48,Buenos Aires,Argentina,1,-0.055,0.11,0.641
49,Kiev,Ukraine,5,0.79,0.036,0
50,Kampala,Uganda,6,-0.09,0.094,1.032
51,Algiers,Algeria,8,0.749,0.042,0.59
52,Khartoum,Sudan,4,-0.031,0,2.269
53,Warsaw,Poland,11,0.569,0.144,0
54,Rabat,Morocco,11,0.795,0.295,0
55,Riyadh,Saudi Arabia,11,0.613,0.044,0
56,Lima,Peru,11,0.622,0.125,0.234
57,Tashkent,Uzbekistan,7,0.038,0.054,0
58,Kuala Lumpur,Malaysia,10,0.129,0.322,0
Rank,City,Country,timestep,adjusted_R2,Coef_GDP,Coef_POP
59,Maputo,Mozambique,9,0.872,1.377,1.659
60,Kathmandu,Nepal,1,0.075,0,2.943
61,Accra,Ghana,1,-0.251,0,1.956
62,Yaounde,Cameroon,6,0.562,0.427,0.671
63,Colombo,Sri Lanka,9,0.72,0.179,0
64,Bucharest,Romania,5,0.979,0.151,0
65,Ouagadougou,Burkina Faso,12,0.208,0.188,1.329
66,Bamako,Mali,11,0.685,0.506,0
67,Santiago,Chile,1,-0.098,0,2.058
68,Lusaka,Zambia,10,0.901,0.055,1.178
69,Amsterdam,Netherlands,3,0.173,0,3.047
70,Guatemala City,Guatemala,1,-0.123,0,0.715
71,Quito,Ecuador,12,0.93,0.123,0.384
72,Dakar,Senegal,6,0.119,0,1.51
73,Conakry,Guinea,6,0.083,0.575,1.029
74,Tunis,Tunisia,10,0.487,0.13,1.086
75,Brussels,Belgium,5,1,0,0
76,Porto Novo,Benin,1,-0.244,0,2.454
77,Athens,Greece,9,0.941,0,10.116
78,La Paz,Bolivia,1,-0.109,0,1.327
79,Port au Prince,Haiti,8,0.672,0.124,1.818
80,Santo Domingo,Dominican Republic,12,0.597,0.338,0.587
81,Prague,Czech Republic,11,0.583,0.089,0.316
82,Lisbon,Portugal,1,-0.248,0.32,0
83,Stockholm,Sweden,12,1,0,0
84,Baku,Azerbaijan,1,-0.199,0,3.798
85,Budapest,Hungary,2,0.195,0.209,0
86,Amman,Jordan,10,0.244,0.153,0.317
87,Minsk,Belarus,11,-0.216,0.008,0
88,Abu Dhabi,United Arab Emirates,5,0.561,0,0.214
89,Belgrade,Serbia,12,1,0,0
90,Vienna,Austria,12,1,0,0
91,Bern,Switzerland,9,1,0,0
92,Tel Aviv1,Israel,2,0.086,0.199,0.588
93,Lome,Togo,11,0.775,1.52,0
94,Sofia,Bulgaria,1,-0.721,0.046,0
95,Asuncion,Paraguay,1,0.006,0,2.841
96,San Salvador,El Salvador,3,0.149,0.322,0
97,Managua,Nicaragua,11,0.497,0.21,0
98,Beirut,Lebanon,5,0.587,0,2.044
99,Copenhagen,Denmark,5,0.796,0.181,0.553
100,Singapore,Singapore,12,0.91,0.214,0
101,Helsinki,Finland,3,-0.116,0,3.079
102,Oslo,Norway,1,0.04,0,1.954
103,San Jose,Costa Rica,4,0.014,0,1.44
104,Dublin,Ireland,12,0.878,0.178,0.17
105,Zagreb,Croatia,12,1,0,0
106,Tbilisi,Georgia,1,-0.138,0.053,0
107,Montevideo,Uruguay,1,-0.449,0.013,0
108,Ulaanbaatar,Mongolia,12,0.864,0.052,0.815
109,Yerevan,Armenia,3,0.724,0.003,9.998
110,Kingston,Jamaica,9,0.816,0.342,0
111,Ljubljana,Slovenia,11,1,0,0
112,Riga,Latvia,7,1,0,0
113,Tallinn,Estonia,11,1,0,0
114,Georgetown,Guyana,7,0.815,0.02,2.489