"","","city","country_x","corX","corY","radius","2016_sl","2017_sl","2018_sl","2019_sl","2020_sl","2021_sl","2022_sl","2023_sl","2024_sl","2025_sl","2026_sl","2027_sl","2028_sl","2029_sl","2030_sl","2031_sl","2032_sl","2033_sl","2034_sl","2035_sl","2036_sl","2037_sl","2038_sl","2039_sl","2040_sl","2041_sl","2042_sl","2043_sl","2044_sl","2045_sl","2046_sl","2047_sl","2048_sl","2049_sl","2050_sl"
"1",0,"Beijing","China",116.4073963,39.9041999,0.598026128191737,6569,6853,7123,7411,7729,7932,8211,8474,8733,8988,9276,9525,9798,10083,10421,10556,10801,11033,11269,11521,11738,11936,12165,12359,12712,12737,12945,13140,13303,13496,13667,13861,13993,14128,14539
"2",1,"New Delhi","India",77.2090212,28.6139391,0.596441950234891,4059,4137,4218,4300,4395,4466,4539,4605,4675,4735,4802,4863,4931,4996,5059,5111,5154,5216,5278,5328,5409,5455,5562,5609,5663,5714,5746,5790,5838,5880,5919,5967,6002,6047,6120
"3",2,"Washington D.C.","United States",-77.0368707,38.9071923,0.594853553406214,2686,2729,2766,2811,2856,2903,2955,3007,3068,3121,3185,3250,3311,3365,3422,3474,3513,3560,3604,3649,3691,3729,3766,3806,3840,3877,3910,3938,3973,4012,4039,4067,4099,4128,4159
"4",3,"Jakarta","Indonesia",106.8283415,-6.180495,0.593260903818885,8077,8183,8272,8359,8476,8495,8564,8637,8720,8795,8894,8976,9047,9144,9279,9322,9415,9490,9571,9655,9720,9806,9893,9964,10054,10081,10140,10209,10257,10329,10384,10453,10529,10594,10686
"5",4,"Brasilia","Brazil",-47.9218204,-15.826691,0.591663967129992,2660,2892,3148,3390,3664,3891,4144,4395,4633,4872,5076,5307,5541,5775,6079,6232,6469,6687,6908,7128,7380,7605,7841,8084,8461,8519,8753,8974,9177,9371,9548,9734,9917,10092,10495
"6",5,"Mexico City","Mexico",-99.133208,19.4326077,0.590062708531898,3032,3050,3067,3092,3112,3130,3151,3176,3196,3227,3251,3265,3289,3308,3331,3348,3369,3383,3399,3411,3423,3442,3464,3482,3497,3516,3532,3548,3568,3585,3593,3606,3617,3626,3637
"7",6,"Tokyo","Japan",139.6917064,35.6894875,0.588457092743388,7005,7068,7124,7197,7271,7361,7434,7498,7570,7660,7735,7807,7886,7942,7989,8041,8101,8155,8201,8244,8288,8325,8376,8424,8455,8510,8543,8587,8724,8759,8798,8835,8874,8908,8927
"8",7,"Manila","Philippines",120.9842195,14.5995124,0.586847084000594,2911,2958,3003,3041,3096,3150,3201,3242,3287,3331,3360,3408,3449,3487,3545,3582,3608,3642,3676,3704,3745,3771,3812,3851,3879,3911,3947,3976,4002,4028,4098,4116,4149,4176,4192
"9",8,"Shanghai"," China",121.473701,31.230416,0.596441950234891,8367,8816,9236,9606,9999,10230,10514,10747,10983,11166,11357,11509,11632,11768,11965,12022,12135,12222,12295,12370,12438,12500,12553,12592,12684,12667,12694,12714,12731,12751,12765,12778,12795,12809,12873
"10",9,"Guangzhou"," China",113.264385,23.12911,0.594853553406214,9557,9896,10215,10508,10813,11123,11420,11737,12037,12323,12616,12887,13168,13440,13726,13955,14173,14422,14636,14854,15065,15270,15476,15656,15914,15977,16089,16189,16283,16376,16442,16520,16587,16647,16816
"11",10,"New York City"," United States",-74.0059728,40.7127753,0.593260903818885,4055,4082,4130,4176,4178,4233,4293,4342,4398,4442,4496,4533,4554,4615,4650,4711,4757,4813,4855,4915,4969,5018,5043,5099,5066,5178,5209,5252,5296,5334,5361,5406,5447,5482,5416
"12",11,"Shenzhen"," China",114.057865,22.543096,0.591663967129992,7746,8066,8422,8757,9078,9297,9483,9663,9815,9937,10072,10196,10273,10377,10509,10498,10553,10598,10633,10668,10685,10701,10717,10731,10798,10752,10761,10779,10788,10797,10807,10820,10835,10858,10916
"13",12,"Ṣo Paulo"," Brazil",-46.6333094,-23.5505199,0.590062708531898,6339,6638,6962,7304,7705,7954,8283,8648,8950,9299,9616,9945,10288,10616,10962,11227,11498,11783,12064,12339,12615,12880,13150,13368,13640,13796,14007,14173,14370,14528,14689,14813,14951,15089,15235
"14",13,"Mumbai"," India",72.8776559,19.0759837,0.588457092743388,1837,1854,1868,1887,1901,1914,1929,1934,1945,1963,1975,1989,2001,2018,2028,2043,2054,2065,2077,2087,2096,2112,2122,2134,2142,2160,2172,2180,2192,2206,2214,2230,2243,2257,2262
"15",14,"Keihanshin (Kyoto-Osaka-Kobe)"," Japan",135.5022535,34.6937249,0.586847084000594,3597,3612,3639,3660,3636,3701,3716,3745,3766,3788,3801,3814,3822,3829,3846,3870,3888,3898,3909,3917,3926,3943,3958,3977,3975,4000,4016,4025,4034,4045,4054,4067,4079,4089,4110
"16",15,"Wuhan"," China",114.305539,30.592849,0.585232646047706,2819,2909,2986,3072,3181,3262,3337,3450,3528,3630,3732,3814,3932,4027,4157,4259,4371,4468,4562,4656,4742,4842,4936,5035,5168,5226,5309,5397,5492,5577,5666,5748,5860,5960,6089
"17",16,"Los Angeles"," United States",-118.2436849,34.0522342,0.583613742127445,5566,5615,5672,5734,5787,5848,5914,5967,6014,6054,6092,6129,6172,6215,6280,6293,6321,6341,6359,6380,6389,6401,6414,6429,6458,6443,6458,6463,6472,6471,6480,6483,6488,6499,6523
"18",17,"Chengdu"," China",104.066801,30.572815,0.581990334971295,3632,3779,3899,3980,4191,4224,4333,4425,4527,4665,4784,4910,5034,5158,5414,5457,5597,5757,5912,6079,6249,6406,6599,6779,7048,7140,7323,7517,7710,7881,8054,8243,8423,8629,8955
"19",18,"Chongqing"," China",106.912251,29.4315861,0.580362386789495,1503,1504,1489,1491,1483,1491,1497,1499,1506,1513,1511,1517,1533,1538,1560,1547,1549,1550,1553,1562,1570,1572,1579,1588,1601,1596,1606,1612,1622,1629,1632,1636,1641,1634,1653
"20",19,"Tianjin"," China",117.3616476,39.3433574,0.578729859260778,2684,2759,2852,2940,3020,3118,3203,3301,3383,3454,3552,3626,3703,3794,3919,3980,4076,4160,4254,4352,4452,4538,4619,4706,4832,4861,4948,5018,5078,5156,5210,5276,5336,5391,5488
"21",20,"Istanbul"," Turkey",28.9783589,41.0082376,0.57709271352184,2681,2771,2841,2933,3078,3134,3233,3328,3405,3520,3626,3745,3873,3985,4114,4257,4397,4536,4658,4805,4931,5063,5190,5318,5415,5538,5662,5774,5895,5991,6085,6178,6235,6308,6374
"22",21,"Kolkata"," India",88.363895,22.572646,0.575450910156548,5511,5624,5753,5872,6031,6174,6323,6453,6590,6712,6839,6957,7079,7178,7270,7375,7495,7677,7783,7870,7960,8042,8124,8210,8261,8368,8443,8529,8617,8691,8763,8824,8895,8936,8953
"23",22,"Hangzhou"," China",120.15507,30.274084,0.573804409184872,2664,2719,2760,2813,2854,2906,2947,2979,3009,3042,3079,3119,3144,3172,3176,3225,3256,3285,3314,3344,3365,3391,3418,3447,3469,3476,3502,3518,3535,3568,3579,3603,3632,3649,3676
"24",23,"Surabaya"," Indonesia",112.7520883,-7.2574719,0.572153170051517,3003,3041,3086,3135,3187,3245,3302,3364,3422,3504,3585,3657,3729,3788,3828,3921,3972,4030,4100,4174,4261,4312,4364,4406,4420,4475,4532,4567,4606,4642,4682,4722,4749,4773,4803
"25",24,"Xi'an"," China",108.93977,34.341574,0.570497151614274,1777,1794,1807,1830,1847,1860,1877,1894,1923,1941,1963,1990,2008,2034,2051,2071,2097,2119,2140,2164,2184,2199,2220,2243,2256,2280,2299,2325,2339,2362,2394,2421,2445,2475,2490
"26",25,"Bangalore"," India",77.5945627,12.9715987,0.568836312132058,2038,2054,2069,2074,2069,2099,2112,2125,2143,2159,2174,2194,2210,2230,2202,2258,2275,2293,2313,2326,2344,2363,2388,2409,2386,2460,2480,2500,2522,2540,2564,2582,2603,2621,2578
"27",26,"Changzhou"," China",119.974061,31.811226,0.56717060925263,3190,3234,3286,3299,3357,3392,3452,3502,3546,3602,3712,3791,3853,3903,3943,4000,4056,4120,4174,4229,4272,4327,4376,4406,4461,4510,4560,4598,4646,4704,4746,4805,4865,4908,4987
"28",27,"Rio de Janeiro"," Brazil",-43.1728965,-22.9068467,0.5655,2173,2182,2201,2221,2235,2248,2271,2292,2321,2348,2373,2395,2413,2436,2457,2479,2496,2517,2536,2553,2572,2588,2606,2620,2638,2653,2674,2700,2722,2742,2760,2775,2794,2806,2824
"29",28,"Shantou"," China",116.681972,23.354091,0.563824440761484,4578,4681,4787,4881,5030,5099,5196,5305,5413,5537,5660,5772,5872,5961,6075,6128,6204,6283,6348,6420,6504,6572,6641,6726,6852,6867,6941,7007,7082,7154,7220,7291,7365,7444,7564
"30",29,"Nanjing"," China",118.796877,32.060255,0.562143887274424,2084,2082,2087,2090,2105,2111,2121,2140,2165,2188,2218,2243,2260,2272,2275,2306,2324,2351,2372,2393,2413,2425,2440,2459,2460,2503,2530,2560,2581,2594,2600,2619,2643,2662,2666
"31",30,"Rhine-Ruhr"," Germany",7.5578181,51.418754,0.560458294612543,2212,2215,2221,2230,2235,2242,2251,2263,2273,2284,2293,2306,2317,2328,2335,2348,2363,2373,2386,2396,2410,2418,2428,2441,2455,2465,2480,2489,2504,2558,2567,2582,2594,2604,2617
"32",31,"Jinan"," China",117.120095,36.6512,0.558767617171933,1617,1639,1657,1656,1672,1692,1712,1733,1764,1781,1817,1839,1862,1876,1900,1924,1943,2006,2034,2043,2057,2083,2096,2118,2134,2177,2199,2211,2235,2254,2282,2301,2328,2342,2351
"33",32,"Chennai"," India",80.2707184,13.0826802,0.557071808656658,1240,1255,1278,1294,1313,1335,1352,1372,1392,1408,1423,1451,1466,1486,1505,1521,1531,1539,1555,1570,1581,1594,1611,1627,1633,1645,1696,1706,1718,1732,1751,1768,1781,1794,1799
"34",33,"Harbin"," China",126.534967,45.803775,0.555370822063961,1710,1801,1858,1945,2051,2107,2215,2292,2399,2499,2605,2717,2825,2930,3053,3191,3319,3441,3555,3701,3837,3973,4106,4240,4398,4516,4663,4797,4954,5103,5252,5403,5573,5741,5953
"35",34,"Chicago"," United States",-87.6297982,41.8781136,0.553664609669067,2978,3068,3171,3259,3244,3448,3537,3622,3699,3765,3838,3882,3956,4009,4033,4112,4155,4201,4239,4272,4300,4353,4401,4436,4460,4516,4551,4589,4615,4657,4692,4727,4758,4791,4819
"36",35,"Zhengzhou"," China",113.625328,34.746611,0.551953123009554,2185,2187,2194,2207,2223,2234,2236,2253,2278,2299,2324,2351,2374,2393,2431,2436,2480,2501,2536,2562,2593,2652,2640,2671,2703,2802,2817,2857,2879,2925,2960,2996,3023,3063,3042
"37",36,"Johannesburg"," South Africa",28.0473051,-26.2041028,0.550236312869298,4457,4633,4802,4971,5176,5314,5449,5605,5773,5944,6088,6265,6401,6550,6678,6831,6974,7127,7275,7399,7545,7665,7806,7936,8076,8220,8355,8489,8618,8733,8856,8994,9123,9242,9435
"38",37,"Hanoi","Vietnam",105.8341598,21.0277644,0.585232646047706,3448,3534,3614,3711,3833,3965,4090,4232,4355,4474,4612,4737,4847,4943,5063,5160,5362,5455,5562,5649,5752,5842,5949,6023,6111,6201,6290,6377,6448,6517,6594,6670,6738,6807,6880
"39",38,"Berlin","Germany",13.404954,52.5200066,0.583613742127445,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974
"40",39,"Ankara","Turkey",32.8597419,39.9333635,0.581990334971295,1173,1219,1265,1311,1377,1435,1481,1552,1618,1684,1754,1819,1898,1985,2093,2124,2210,2314,2422,2535,2649,2774,2912,3052,3255,3389,3555,3769,3975,4234,4499,4755,5016,5292,5708
"41",40,"Bangkok","Thailand",100.5017651,13.7563309,0.580362386789495,3646,3762,3853,3949,4080,4134,4233,4325,4440,4543,4655,4764,4846,4945,5119,5153,5264,5357,5469,5580,5680,5765,5854,5955,6141,6112,6191,6262,6335,6408,6470,6531,6610,6670,6858
"42",41,"London","United Kingdom",-0.1277583,51.5073509,0.578729859260778,3641,3685,3751,3823,3906,3984,4051,4115,4184,4264,4328,4390,4452,4498,4556,4626,4688,4748,4807,4859,4912,5036,5086,5139,5165,5232,5275,5315,5361,5398,5444,5497,5540,5571,5614
"43",42,"Paris","France",2.3522219,48.856614,0.57709271352184,2538,2552,2569,2599,2627,2660,2680,2702,2730,2781,2814,2842,2860,2881,2912,2937,2962,2993,3015,3047,3068,3091,3107,3134,3158,3188,3202,3227,3238,3264,3277,3298,3315,3327,3338
"44",43,"Rome","Italy",12.4963655,41.9027835,0.575450910156548,1063,1072,1085,1094,1116,1135,1156,1171,1186,1203,1229,1253,1277,1296,1316,1334,1344,1361,1380,1399,1415,1433,1443,1466,1488,1505,1519,1531,1551,1562,1574,1589,1605,1622,1633
"45",44,"Pretoria","South Africa",28.2292712,-25.7478676,0.573804409184872,4433,4621,4827,4997,5256,5388,5553,5740,5931,6125,6269,6461,6648,6816,7007,7133,7284,7479,7632,7786,7929,8079,8231,8400,8589,8732,8871,9011,9171,9323,9474,9652,9826,9988,10219
"46",45,"Bogota","Colombia",-74.072092,4.7109886,0.572153170051517,722,722,723,724,726,729,731,732,734,734,734,736,742,743,745,747,748,750,751,753,754,758,763,768,770,773,773,778,781,782,785,787,792,795,800
"47",46,"Madrid","Spain",-3.7037902,40.4167754,0.570497151614274,1589,1594,1597,1604,1610,1631,1646,1656,1671,1689,1703,1721,1743,1764,1776,1806,1834,1856,1880,1902,1933,1954,1978,2008,2043,2073,2098,2120,2153,2183,2199,2217,2244,2263,2289
"48",47,"Buenos Aires","Argentina",-58.3815591,-34.6036844,0.568836312132058,3922,4045,4150,4243,4355,4451,4539,4619,4707,4798,4878,4958,5047,5147,5241,5311,5398,5473,5545,5633,5705,5789,5850,5929,6014,6062,6153,6221,6298,6385,6457,6534,6622,6688,6799
"49",48,"Kiev","Ukraine",30.5234,50.4501,0.56717060925263,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580
"50",49,"Kampala","Uganda",32.5825197,0.3475964,0.5655,2226,2365,2526,2684,2866,2972,3152,3327,3495,3657,3842,4017,4207,4414,4638,4783,4975,5153,5350,5518,5707,5912,6135,6337,6602,6762,6969,7172,7392,7640,7873,8091,8315,8525,8810
"51",50,"Algiers","Algeria",3.0587561,36.753768,0.563824440761484,1000,1008,1024,1039,1052,1064,1070,1079,1096,1109,1126,1146,1161,1183,1198,1214,1223,1235,1247,1266,1280,1294,1310,1319,1339,1352,1365,1376,1381,1397,1405,1422,1435,1444,1458
"52",51,"Khartoum","Sudan",32.5598994,15.5006544,0.562143887274424,1626,1683,1743,1806,1868,1913,1952,2005,2056,2116,2167,2221,2291,2359,2403,2488,2545,2605,2666,2720,2782,2829,2886,2944,2986,3072,3130,3169,3235,3284,3353,3421,3508,3577,3630
"53",52,"Warsaw","Poland",21.0122287,52.2296756,0.560458294612543,812,830,849,865,893,928,958,985,1009,1039,1059,1080,1105,1124,1148,1166,1184,1212,1239,1262,1284,1304,1327,1347,1364,1384,1393,1409,1424,1453,1475,1485,1500,1523,1577
